asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,ISO_Code,gqid
43,399.523536144,400.183241526,399.032492455,404.760081122,406.063193427,404.01300176,403.64905726,404.505689087,403.099253336,402.543955355,402.832887288,402.28939744,ADM2,UGA_ADM2_1_3_3_43,LYANTONDE,ADM2,2,43,UGA,UG-114,43
44,399.518616014,399.926078955,399.00238592,405.047686184,405.672786915,404.94462845,407.139914347,407.419791252,406.684263479,401.552413054,402.06187439,401.184028626,ADM2,UGA_ADM2_1_3_3_44,MANAFWA,ADM2,2,44,UGA,UG-223,44
45,399.884120186,400.442278181,399.140676058,404.092608585,404.638675989,403.64362971,404.947363204,405.519763402,404.288828532,402.330675932,402.773666382,402.090896606,ADM2,UGA_ADM2_1_3_3_45,MASAKA,ADM2,2,45,UGA,UG-105,45
46,401.360449974,403.461015181,398.814735413,405.129510015,406.340606689,402.992787114,408.151320347,409.630926768,402.504714966,401.604591571,404.762513258,398.768320719,ADM2,UGA_ADM2_1_3_3_46,MASINDI,ADM2,2,46,UGA,UG-409,46
47,399.64081385,401.225682185,398.918487549,406.408891042,408.049301147,404.830874357,407.331033693,408.908874512,404.715681596,402.248514905,403.981391124,400.781768799,ADM2,UGA_ADM2_1_3_3_47,MAYUGE,ADM2,2,47,UGA,UG-214,47
48,400.095884244,400.635830561,399.64600579,405.861785365,406.920756313,405.008604587,407.14155947,407.779047371,406.76681722,401.87728757,402.438278198,401.485244751,ADM2,UGA_ADM2_1_3_3_48,MBALE,ADM2,2,48,UGA,UG-209,48
49,399.584834919,401.061792297,398.698040644,404.791366678,404.982158094,404.120783488,405.466125529,406.434082031,404.477806092,401.651896056,404.123910146,400.274285721,ADM2,UGA_ADM2_1_3_3_49,MBARARA,ADM2,2,49,UGA,UG-410,49
50,398.956746344,400.88482666,397.404966935,403.872125381,405.239701491,403.105162865,407.124174184,408.429000855,405.496142578,402.1533662,403.283274511,398.18963623,ADM2,UGA_ADM2_1_3_3_50,MOROTO,ADM2,2,50,UGA,UG-308,50
51,400.243470556,403.189208984,397.95753479,405.362244383,407.820921065,402.606572469,404.889959723,408.604129368,399.297454835,403.254940163,405.760483314,400.807108561,ADM2,UGA_ADM2_1_3_3_51,MOYO,ADM2,2,51,UGA,UG-309,51
52,398.604561795,400.754682269,396.362685354,404.294624182,405.642538452,402.769745913,407.071083995,408.429000855,405.807342094,403.114822528,405.067337036,401.250408397,ADM2,UGA_ADM2_1_3_3_52,NAKAPIRIPIRIT,ADM2,2,52,UGA,UG-311,52
